movie,actor,year,ranking,votes
W imię ojca,Alison Crosbie,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Philip King,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Emma Thompson,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Nye Heron,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Anthony Brophy,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Frankie McCafferty,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Paul Warriner,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Julian Walsh,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Stuart Wolfenden,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Jo Connor,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Karen Carlisle,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Seamus Moran,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Billy Byrne,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Maureen McBride,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Jane Nolan,110.72222222222223,0.44999999999999996,10277.777777777777
W imię ojca,Laurence Griffin,110.72222222222223,0.44999999999999996,10277.777777777777
Zagadka zbrodni,Song Kang-ho,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Kim Sang-kyung,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Kim Roe-ha,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Jae-ho Song,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Byun Hee-Bong,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Seo-hie Ko,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Tae-ho Ryu,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Park No-shik,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Park Hae-il,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Jeon Mi-seon,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Young-hwa Seo,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Woo Go-na,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Ok-joo Lee,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Jong-ryol Choi,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Yoo Seung-mok,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Hun-Kyung Lee,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Shin Hyun-jong,111.27777777777777,0.44999999999999996,11666.666666666666
Zagadka zbrodni,Jae-eung Lee,111.27777777777777,0.44999999999999996,11666.666666666666
Na nabrzeżach,Marlon Brando,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Karl Malden,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Lee J. Cobb,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Rod Steiger,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Pat Henning,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Leif Erickson,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,James Westerfield,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Tony Galento,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Tami Mauriello,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,John F. Hamilton,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,John Heldabrand,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Rudy Bond,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Don Blackman,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Arthur Keegan,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Abe Simon,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Eva Marie Saint,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Martin Balsam,108.55555555555556,0.44999999999999996,9055.555555555555
Na nabrzeżach,Dan Bergin,108.55555555555556,0.44999999999999996,9055.555555555555
Generał,Buster Keaton,107,0.44999999999999996,5388.888888888889
Generał,Marion Mack,107,0.44999999999999996,5388.888888888889
Generał,Glen Cavender,107,0.44999999999999996,5388.888888888889
Generał,Jim Farley,107,0.44999999999999996,5388.888888888889
Generał,Frederick Vroom,107,0.44999999999999996,5388.888888888889
Generał,Frank Barnes,107,0.44999999999999996,5388.888888888889
Generał,Charles Henry Smith,107,0.44999999999999996,5388.888888888889
Generał,Joe Keaton,107,0.44999999999999996,5388.888888888889
Generał,Mike Donlin,107,0.44999999999999996,5388.888888888889
Generał,Tom Nawn,107,0.44999999999999996,5388.888888888889
Generał,Henry Baird,107,0.44999999999999996,5388.888888888889
Generał,Joe Bricher,107,0.44999999999999996,5388.888888888889
Generał,Jimmy Bryant,107,0.44999999999999996,5388.888888888889
Generał,Sergeant Bukowski,107,0.44999999999999996,5388.888888888889
Generał,C.C. Cruson,107,0.44999999999999996,5388.888888888889
Generał,Jack Dempster,107,0.44999999999999996,5388.888888888889
Generał,Keith Fennell,107,0.44999999999999996,5388.888888888889
Generał,Budd Fine,107,0.44999999999999996,5388.888888888889
